N,f,k,q,W,gossip_flow_recon_recall_mean,gossip_flow_recon_recall_std,gossip_flow_dos_recall_mean,gossip_flow_dos_recall_std,gossip_corrected_flow_recon_recall_mean,gossip_corrected_flow_recon_recall_std,gossip_corrected_flow_dos_recall_mean,gossip_corrected_flow_dos_recall_std,gossip_window_recon_recall_mean,gossip_window_recon_recall_std,gossip_window_dos_recall_mean,gossip_window_dos_recall_std,gossip_recon_fpr_mean,gossip_recon_fpr_std,gossip_dos_fpr_mean,gossip_dos_fpr_std,gossip_bandwidth_mean,gossip_bandwidth_std,gossip_latency_mean,gossip_latency_std,indep_flow_recon_recall_mean,indep_flow_recon_recall_std,indep_flow_dos_recall_mean,indep_flow_dos_recall_std,indep_window_recon_recall_mean,indep_window_recon_recall_std,indep_window_dos_recall_mean,indep_window_dos_recall_std,indep_recon_fpr_mean,indep_recon_fpr_std,indep_dos_fpr_mean,indep_dos_fpr_std,indep_bandwidth_mean,indep_bandwidth_std,indep_latency_mean,indep_latency_std,cent_flow_recon_recall_mean,cent_flow_recon_recall_std,cent_flow_dos_recall_mean,cent_flow_dos_recall_std,cent_window_recon_recall_mean,cent_window_recon_recall_std,cent_window_dos_recall_mean,cent_window_dos_recall_std,cent_recon_fpr_mean,cent_recon_fpr_std,cent_dos_fpr_mean,cent_dos_fpr_std,cent_bandwidth_mean,cent_bandwidth_std,cent_latency_mean,cent_latency_std
8,2,16,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0
8,2,16,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0
8,2,16,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0
8,2,16,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0
8,3,4,2,5,0.9974,0.0,0.9742333333333333,0.00040414518843276794,0.276,0.00029999999999998084,0.8416,0.0006557438524302675,0.9883000000000001,0.00017320508075698083,0.9353000000000001,0.00017320508075686865,0.8316666666666667,0.00045092497528223974,0.7043666666666667,0.00023094010767593705,0.0397,0.0,5319.67,0.0,1.0,0.0,0.9973,0.0,0.9983,0.0,0.9827,0.0,0.8981,0.0,0.7543000000000001,0.0,0.0,0.0,5319.67,0.0,0.9974,0.0,0.9746,0.0,0.9885,0.0,0.9361,0.0,0.8324000000000001,0.0,0.7048,0.0,0.013199999999999998,0.0,5319.67,0.0
8,3,4,4,5,0.9125333333333333,0.0029263173671584992,0.8611666666666666,0.002107921567168293,0.31406666666666666,0.004535783651513059,0.7909,0.0015132745950421466,0.7908333333333334,0.0012055427546683647,0.7294666666666666,0.0029365512652316044,0.48446666666666666,0.0027934447074057732,0.5356333333333333,0.0004725815626252832,0.0397,0.0,5319.67,0.0,1.0,0.0,0.9973,0.0,0.9983,0.0,0.9827,0.0,0.8981,0.0,0.7543000000000001,0.0,0.0,0.0,5319.67,0.0,0.9302,0.0,0.8767,0.0,0.8237,0.0,0.7542,0.0,0.5219,0.0,0.5552,0.0,0.013199999999999998,0.0,5319.67,0.0
8,3,8,2,5,0.9997000000000001,0.0,0.9975,0.00017320508075698083,0.016,0.0005999999999999998,0.8598666666666667,0.0002516611478423306,0.9943,0.0,0.9729,0.0005196152422706059,0.8228666666666667,0.00040414518843276566,0.6064666666666667,0.00011547005383791243,0.06160000000000001,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9997000000000001,0.0,0.9975999999999999,0.0,0.9943,0.0,0.9732,0.0,0.8236,0.0,0.6066,0.0,0.0205,0.0,3431.0,0.0
8,3,8,4,5,0.9807666666666667,0.0013613718571107952,0.9502,0.002879236009777579,0.2262666666666667,0.007705409355338187,0.8462333333333333,0.002953528962670499,0.9371666666666667,0.0018175074506954182,0.8713666666666667,0.0007094598884597556,0.6857666666666667,0.0022590558499809127,0.5422333333333333,0.0008504900548115838,0.06160000000000001,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9888,0.0,0.9672,0.0,0.9555000000000001,0.0,0.9001,0.0,0.7269,0.0,0.5543,0.0,0.0205,0.0,3431.0,0.0
8,3,8,6,5,0.8960666666666667,0.0016165807537309503,0.8277333333333333,0.006760424049816153,0.5484333333333333,0.00535941539100423,0.7604333333333333,0.007379250187744965,0.7801333333333332,0.00248260615751541,0.7284,0.0054147945482723656,0.4373333333333333,0.004219399641339213,0.4648333333333334,0.0021385353243126943,0.06160000000000001,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9379,0.0,0.8672,0.0,0.8542,0.0,0.7817,0.0,0.5198,0.0,0.49510000000000004,0.0,0.0205,0.0,3431.0,0.0
8,3,8,8,5,0.6836333333333333,0.006222807512155024,0.6999333333333334,0.004244211744639206,0.5499666666666667,0.011211749789097782,0.6732,0.005850640990523968,0.46116666666666667,0.007726146085425354,0.4876666666666667,0.0063846169292552865,0.21666666666666667,0.001892969448600097,0.3196333333333333,0.0016862186493255703,0.06160000000000001,0.0,4574.666666666667,990.444386794803,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.7826,0.0,0.7655,0.0,0.5958,0.0,0.6042,0.0,0.2952,0.0,0.38219999999999993,0.0,0.0205,0.0,3431.0,0.0
8,3,16,2,5,0.9997000000000001,0.0,0.9974333333333334,0.0002886751345948612,0.0159,0.0008660254037844359,0.8602,0.0007937253933194052,0.9941333333333334,0.0002886751345947811,0.9726333333333333,0.0006658328118479424,0.823,0.0005000000000000282,0.6063333333333333,5.773502691898025e-05,0.06160000000000001,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9997000000000001,0.0,0.9975999999999999,0.0,0.9943,0.0,0.9732,0.0,0.8236,0.0,0.6066,0.0,0.0205,0.0,3431.0,0.0
8,3,16,4,5,0.9826666666666667,0.0016010413278030032,0.9520666666666666,0.0047077949544700294,0.22293333333333334,0.005001333155602938,0.8487666666666667,0.0054280137558165124,0.9398,0.001039230484541292,0.8742666666666666,0.004816983841921539,0.6869666666666667,0.0024826061575153897,0.5444333333333333,0.0011015141094572083,0.06160000000000001,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9888,0.0,0.9672,0.0,0.9555000000000001,0.0,0.9001,0.0,0.7269,0.0,0.5543,0.0,0.0205,0.0,3431.0,0.0
8,3,16,6,5,0.891,0.0038587562763149653,0.8282333333333334,0.007617304860207056,0.5500666666666666,0.006686055139866414,0.7635333333333333,0.005987765303795182,0.7757333333333333,0.0002886751345948612,0.7293,0.0030413812651491354,0.4331,0.0014422205101855985,0.46536666666666665,0.002829016319029151,0.06160000000000001,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.9379,0.0,0.8672,0.0,0.8542,0.0,0.7817,0.0,0.5198,0.0,0.49510000000000004,0.0,0.0205,0.0,3431.0,0.0
8,3,16,8,5,0.684,0.00413884041731497,0.6990333333333334,0.0013316656236958668,0.5485333333333333,0.011828073948590838,0.6754000000000001,0.0013527749258468588,0.4537,0.00243310501211928,0.48733333333333334,0.005046120622154574,0.21613333333333332,0.0034847285881877983,0.32293333333333335,0.0009451631252505356,0.06160000000000001,0.0,3431.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.7826,0.0,0.7655,0.0,0.5958,0.0,0.6042,0.0,0.2952,0.0,0.38219999999999993,0.0,0.0205,0.0,3431.0,0.0
8,3,16,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06160000000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0
8,3,16,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06160000000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0
8,3,16,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06160000000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9991,0.0,0.9946,0.0,0.868,0.0,0.6449,0.0,0.0,0.0,3431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0
