N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
16,4,4,8,5,0.9954,0.9540,0.2726,0.8300,0.9669,0.8944,0.7368,0.6512,0.0529,2660.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.9983,0.9792,0.9863,0.9386,0.8206,0.6871,0.0132,2660.3300
16,4,6,8,5,0.9119,0.8677,0.3089,0.8029,0.7802,0.7336,0.4633,0.5317,0.0529,2660.3300,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.9765,0.9371,0.9267,0.8609,0.6444,0.6219,0.0132,2660.3300
16,4,8,8,5,0.6216,0.6388,0.2680,0.6151,0.4095,0.3476,0.1816,0.3137,0.0529,3990.5000,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,2660.3300,0.8804,0.8476,0.7330,0.6777,0.4210,0.4882,0.0132,2660.3300
16,2,2,16,5,1.0000,1.0000,0.0069,0.8315,0.9994,0.9993,0.8241,0.6148,0.0410,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,1.0000,1.0000,0.9994,1.0000,0.8336,0.6277,0.0205,1716.0000
16,2,4,16,5,0.9874,0.9819,0.1527,0.8667,0.9489,0.8909,0.7194,0.5366,0.0410,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9997,1.0000,0.9937,0.9900,0.8089,0.5973,0.0205,1716.0000
16,2,6,16,5,0.9216,0.8420,0.5426,0.7608,0.7973,0.7472,0.4531,0.4604,0.0410,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9940,0.9946,0.9779,0.9454,0.7750,0.5649,0.0205,1716.0000
16,2,8,16,5,0.7757,0.7655,0.5835,0.7219,0.5701,0.5961,0.2825,0.3742,0.0410,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9863,0.9631,0.9463,0.8816,0.7093,0.5317,0.0205,1716.0000
16,2,10,16,5,0.5409,0.6270,0.4505,0.6134,0.3194,0.3433,0.1515,0.2730,0.0410,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9691,0.8948,0.8933,0.8110,0.5906,0.4985,0.0205,1716.0000
16,2,12,16,5,0.2160,0.3957,0.2057,0.3925,0.0587,0.1311,0.0401,0.1937,0.0410,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9256,0.8454,0.7973,0.7658,0.4666,0.4680,0.0205,1716.0000
16,2,14,16,5,0.0129,0.1252,0.0129,0.1252,0.0025,0.0166,0.0017,0.0412,0.0410,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.8458,0.7985,0.6894,0.6953,0.3605,0.4310,0.0205,1716.0000
16,2,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0410,5148.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.7111,0.7327,0.4703,0.5150,0.2357,0.3402,0.0205,2574.0000
16,3,2,16,5,1.0000,1.0000,0.0069,0.8180,0.9987,0.9993,0.8302,0.6219,0.0615,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,1.0000,1.0000,0.9994,1.0000,0.8336,0.6277,0.0205,1716.0000
16,3,4,16,5,0.9946,0.9900,0.0798,0.8667,0.9766,0.9308,0.7637,0.5619,0.0615,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9997,1.0000,0.9937,0.9900,0.8089,0.5973,0.0205,1716.0000
16,3,6,16,5,0.9660,0.8995,0.3859,0.8063,0.8763,0.8097,0.5724,0.4927,0.0615,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9940,0.9946,0.9779,0.9454,0.7750,0.5649,0.0205,1716.0000
16,3,8,16,5,0.8744,0.8044,0.5727,0.7403,0.7241,0.7146,0.3909,0.4365,0.0615,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9863,0.9631,0.9463,0.8816,0.7093,0.5317,0.0205,1716.0000
